signal,box,n_files,total_samples,total_artifacts,mean_pct_artifact,overall_pct_artifact
RR,box3,206,3844167,921,0.027383495145631067,0.024
RR,box4,535,6850327,83840,0.45899626168224295,1.224
RR,box5,361,4788577,44653,1.1478531855955678,0.932
RR,box6,405,7623164,69804,1.0251382716049382,0.916
RR,box7,320,3802385,19889,0.175128125,0.523
RR,box8,335,2966229,13579,0.3966746268656716,0.458
RR,box9,283,3965585,24263,0.7080671378091873,0.612
TEMP,box10,12,219846,39325,20.827749999999998,17.888
TEMP,box12,40,1694482,108240,15.645199999999999,6.388
TEMP,box13,3,150793,3429,1.612,2.274
TEMP,box14,8,43180,21984,6.6965,50.912
TEMP,box2,2,91791,1447,1.5445,1.576
TEMP,box9,28,843901,21193,4.509142857142857,2.511
