box,has_ecg,has_art,has_co2,has_spo2,has_bis,has_neuro,has_hemo,has_vent,has_temp
box10,99.80392156862746,41.568627450980394,23.92156862745098,99.80392156862746,2.549019607843137,12.941176470588237,23.92156862745098,8.03921568627451,2.3529411764705883
box11,100.0,28.125,43.75,100.0,1.5625,7.8125,43.75,6.25,0.0
box12,99.00249376558602,46.88279301745636,14.962593516209477,99.00249376558602,9.226932668329177,55.11221945137157,14.962593516209477,10.972568578553615,9.975062344139651
box13,99.81785063752277,58.1056466302368,14.754098360655737,99.81785063752277,5.828779599271402,9.836065573770492,15.300546448087433,10.200364298724955,0.546448087431694
box14,99.83805668016194,40.24291497975708,20.97165991902834,99.83805668016194,8.178137651821862,24.615384615384617,21.133603238866396,33.603238866396765,1.2955465587044535
box2,100.0,44.80874316939891,6.557377049180328,100.0,10.382513661202186,10.382513661202186,7.103825136612022,10.92896174863388,1.092896174863388
box3,100.0,60.98654708520179,19.282511210762333,100.0,14.349775784753364,28.251121076233183,21.524663677130047,28.699551569506728,0.0
box4,99.81651376146789,60.366972477064216,27.339449541284406,99.81651376146789,9.174311926605505,49.54128440366973,27.339449541284406,20.0,0.0
box5,100.0,49.865229110512125,33.9622641509434,100.0,6.46900269541779,8.89487870619946,33.9622641509434,2.964959568733154,0.0
box6,100.0,45.54216867469879,38.31325301204819,100.0,7.710843373493977,39.036144578313255,39.277108433734945,23.6144578313253,0.0
box7,98.80597014925372,59.40298507462687,40.298507462686565,98.80597014925372,5.6716417910447765,60.59701492537314,40.298507462686565,6.865671641791045,0.0
box8,100.0,65.60693641618496,21.965317919075144,100.0,4.624277456647398,24.277456647398843,21.965317919075144,7.225433526011561,0.0
box9,99.31972789115646,77.21088435374149,23.809523809523807,99.31972789115646,7.8231292517006805,33.33333333333333,24.489795918367346,24.489795918367346,9.523809523809524
