track,box,filename,hz
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250921_174820.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250921_174820.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_250921_174820.vital,125.0
INTELLIVUE/ECG_III,box10,tvpir4b4i_250921_174820.vital,500.0
INTELLIVUE/ST_V,box10,tvpir4b4i_250921_174820.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250921_174820.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250921_174820.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250921_174820.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250429_021449.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_250429_021449.vital,125.0
INTELLIVUE/ECG_III,box10,tvpir4b4i_250429_021449.vital,500.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/NIBP_SYS,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/NIBP_DIA,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/NIBP_MEAN,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/NIBP_HR,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_I,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_II,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_V1,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_V2,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_V3,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_V4,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_V5,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_V6,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_III,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_AVR,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_AVL,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ST_AVF,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250429_021449.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ST_II,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ART_MEAN,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ART_SYS,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ART_DIA,box10,tvpir4b4i_251224_180601.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_251224_180601.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_251224_180601.vital,125.0
INTELLIVUE/ART,box10,tvpir4b4i_251224_180601.vital,125.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/NIBP_SYS,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/NIBP_DIA,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/NIBP_MEAN,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/NIBP_HR,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_I,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_II,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_III,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_AVR,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_AVL,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_AVF,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ST_V,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250923_105548.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250923_105548.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_250923_105548.vital,125.0
INTELLIVUE/ECG_III,box10,tvpir4b4i_250923_105548.vital,500.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/NIBP_SYS,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/NIBP_DIA,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/NIBP_MEAN,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/NIBP_HR,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250427_030232.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_250427_030232.vital,125.0
INTELLIVUE/ECG_III,box10,tvpir4b4i_250427_030232.vital,500.0
INTELLIVUE/ST_I,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_II,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_V1,box10,tvpir4b4i_250427_030232.vital,1.0
