filename,box,pct_non_nan,std,flatline_pct
nd7wx5v9h_251214_205359.vital,box4,88.64,1.3602368831634521,0.0
nd7wx5v9h_251128_185558.vital,box4,86.88,1.588485598564148,0.0
nd7wx5v9h_251218_065215.vital,box4,93.4,2.540194511413574,0.0
nd7wx5v9h_250326_132546.vital,box4,83.67,3.3315927982330322,0.0
nd7wx5v9h_251214_191238.vital,box4,54.71,1.3888078927993774,0.0
nd7wx5v9h_250414_205220.vital,box4,97.36,2.103919506072998,0.0
xpwhbn6yp_250326_070935.vital,box5,90.23,1.9027243852615356,0.0
xpwhbn6yp_250130_155952.vital,box5,99.86,14.366053581237793,0.0
xpwhbn6yp_250320_082715.vital,box5,50.85,0.39681485295295715,0.0
xpwhbn6yp_250621_154724.vital,box5,99.58,17.85326385498047,0.0
xpwhbn6yp_250129_023918.vital,box5,99.84,6.508686542510986,0.0
xpwhbn6yp_250204_182549.vital,box5,98.95,6.4378814697265625,0.0
xpwhbn6yp_250202_050920.vital,box5,31.38,1.6814159154891968,0.0
xpwhbn6yp_250507_115543.vital,box5,98.98,11.523236274719238,0.0
xpwhbn6yp_250507_212415.vital,box5,99.43,8.567367553710938,0.0
xpwhbn6yp_250201_141213.vital,box5,99.38,7.713562965393066,0.0
khzwppuuh_250620_233146.vital,box6,71.29,4.648015975952148,0.0
khzwppuuh_250203_123348.vital,box6,99.84,11.16751766204834,0.0
khzwppuuh_250405_070548.vital,box6,20.58,0.8134322166442871,0.0
khzwppuuh_250313_132455.vital,box6,99.8,13.96492862701416,0.0
khzwppuuh_250131_173640.vital,box6,77.12,4.174989223480225,0.0
khzwppuuh_250621_170525.vital,box6,25.74,0.0,100.0
khzwppuuh_250511_175645.vital,box6,99.33,16.876876831054688,0.0
khzwppuuh_250621_134025.vital,box6,99.9,14.317404747009277,0.0
khzwppuuh_241209_194315.vital,box6,32.06,2.363697052001953,0.0
khzwppuuh_250111_034617.vital,box6,85.78,1.5393340587615967,0.0
kuigebjtu_250427_001810.vital,box7,99.81,13.072210311889648,0.0
kuigebjtu_241224_110251.vital,box7,94.57,2.100987195968628,0.0
kuigebjtu_250601_091858.vital,box7,84.42,1.0395821332931519,0.0
kuigebjtu_250602_144903.vital,box7,90.68,2.3164522647857666,0.0
kuigebjtu_250528_015323.vital,box7,58.59,2.1244161128997803,0.0
kuigebjtu_250429_095731.vital,box7,82.75,2.415148973464966,0.0
kuigebjtu_241221_073844.vital,box7,99.84,14.821455001831055,0.0
kuigebjtu_250504_202552.vital,box7,99.97,11.435492515563965,0.0
kuigebjtu_250602_083821.vital,box7,99.34,11.088950157165527,0.0
kuigebjtu_250601_214236.vital,box7,38.51,1.0047979354858398,0.0
rm4aaacre_250628_191412.vital,box8,97.11,1.0657609701156616,0.0
rm4aaacre_250702_110058.vital,box8,68.86,3.215702533721924,0.0
rm4aaacre_250624_222649.vital,box8,91.25,1.1025168895721436,0.0
rm4aaacre_250510_052538.vital,box8,92.96,2.0956618785858154,0.0
rm4aaacre_250625_120149.vital,box8,90.94,1.5358998775482178,0.0
rm4aaacre_250622_113208.vital,box8,92.04,2.3705992698669434,0.0
rm4aaacre_250511_124436.vital,box8,32.76,2.0547311305999756,0.0
rm4aaacre_250413_084241.vital,box8,91.96,10.897994041442871,0.0
rm4aaacre_250513_092023.vital,box8,48.83,11.271317481994629,0.0
rm4aaacre_250619_004009.vital,box8,92.96,1.3610129356384277,0.0
xxycag2xd_251214_041802.vital,box9,52.94,2.420426845550537,0.0
xxycag2xd_251214_072359.vital,box9,99.72,14.97842788696289,0.0
xxycag2xd_260113_033422.vital,box9,37.58,0.9269439578056335,0.0
xxycag2xd_250722_100857.vital,box9,0.0,0.0,1.0
xxycag2xd_250831_091303.vital,box9,92.45,1.1761993169784546,0.0
xxycag2xd_250726_145015.vital,box9,98.66,7.131610870361328,0.0
xxycag2xd_250822_214038.vital,box9,99.83,12.533990859985352,0.0
xxycag2xd_251214_134547.vital,box9,98.02,3.8175137042999268,0.0
xxycag2xd_250905_201125.vital,box9,99.86,15.615233421325684,0.0
xxycag2xd_250510_140815.vital,box9,83.4,1.4053868055343628,0.0
tvpir4b4i_250628_102948.vital,box10,61.15,1.7058744430541992,0.0
tvpir4b4i_250527_012546.vital,box10,84.36,0.9263219833374023,0.0
tvpir4b4i_250921_115116.vital,box10,95.63,0.9553404450416565,0.0
tvpir4b4i_250524_011954.vital,box10,99.1,12.204635620117188,0.0
tvpir4b4i_250525_190245.vital,box10,99.83,13.308012962341309,0.0
tvpir4b4i_250427_215330.vital,box10,95.3,1.668243646621704,0.0
tvpir4b4i_250922_085240.vital,box10,91.76,1.2878446578979492,0.0
tvpir4b4i_250427_210326.vital,box10,82.58,1.0771585702896118,0.0
tvpir4b4i_250825_125843.vital,box10,99.52,13.736798286437988,0.0
tvpir4b4i_250701_064645.vital,box10,39.68,0.6269968748092651,0.0
tvpir4b4i_250920_213804.vital,box10,45.66,1.145332932472229,0.0
tvpir4b4i_250602_070633.vital,box10,93.97,2.006843090057373,0.0
tvpir4b4i_260125_113524.vital,box10,99.67,9.506865501403809,0.0
tvpir4b4i_250524_192119.vital,box10,51.38,3.0857114791870117,0.0
tvpir4b4i_251203_124203.vital,box10,99.27,13.213088989257812,0.0
tvpir4b4i_250923_105548.vital,box10,77.57,0.25714826583862305,0.0
tvpir4b4i_250602_095706.vital,box10,90.84,1.1195082664489746,0.0
tvpir4b4i_250424_124340.vital,box10,95.26,1.322753667831421,0.0
tvpir4b4i_251207_022255.vital,box10,99.94,14.938300132751465,0.0
tvpir4b4i_250425_053256.vital,box10,95.13,2.9122474193573,0.0
tvpir4b4i_250528_052054.vital,box10,86.07,1.9457672834396362,0.0
tvpir4b4i_250605_072022.vital,box10,99.29,13.475014686584473,0.0
tvpir4b4i_260102_104929.vital,box10,95.7,0.3867877125740051,0.0
tvpir4b4i_251126_130952.vital,box10,96.43,0.9566556811332703,0.0
tvpir4b4i_250528_141232.vital,box10,99.69,15.945420265197754,0.0
tvpir4b4i_250601_185356.vital,box10,73.82,0.49929895997047424,0.0
tvpir4b4i_250415_103212.vital,box10,64.46,2.1264944076538086,0.0
tvpir4b4i_251212_124306.vital,box10,99.96,12.166106224060059,0.0
tvpir4b4i_250925_112216.vital,box10,95.03,1.5591559410095215,0.0
tvpir4b4i_250922_143202.vital,box10,33.88,0.4596513509750366,0.0
tvpir4b4i_250427_171508.vital,box10,77.26,2.5771355628967285,0.0
tvpir4b4i_250627_092503.vital,box10,95.17,0.979365348815918,0.0
tvpir4b4i_250605_185219.vital,box10,84.59,2.097653865814209,0.0
tvpir4b4i_251204_222813.vital,box10,97.01,0.8662351369857788,0.0
tvpir4b4i_250925_162117.vital,box10,5.33,0.4186813533306122,0.0
tvpir4b4i_250427_193312.vital,box10,74.29,0.7107865214347839,0.0
tvpir4b4i_250625_111118.vital,box10,85.57,0.8918411731719971,0.0
tvpir4b4i_250925_050830.vital,box10,99.9,9.688837051391602,0.0
tvpir4b4i_250921_032402.vital,box10,62.45,1.5508241653442383,0.0
tvpir4b4i_251218_214253.vital,box10,96.63,1.3043224811553955,0.0
tvpir4b4i_250527_164957.vital,box10,99.68,11.81210708618164,0.0
tvpir4b4i_251208_233023.vital,box10,99.68,14.499964714050293,0.0
tvpir4b4i_260103_123841.vital,box10,99.89,15.596892356872559,0.0
tvpir4b4i_250507_015053.vital,box10,93.49,1.3711210489273071,0.0
tvpir4b4i_250922_173206.vital,box10,99.01,12.35232925415039,0.0
